年度	醫事機構代碼	醫事機構名稱	特約類別	分母病人入院日起6個月內期間接受心臟復健人次數_含跨院住院及門診	18歲以上因急性心肌梗塞AMI入院治療的出院人次數	急性心肌梗塞病人接受心臟復健之比率	申報醫師數	病患平均年齡	病患重大傷病人數	病患重大傷病比率	縣市別	鄉鎮別
2022年下半年度	421040011	國立成功大學醫學院附設醫院	醫學中心	31	42	0.7381	14	58.8537	5	0.122	10021	10021040
2023年上半年度	421040011	國立成功大學醫學院附設醫院	醫學中心	28	53	0.5283	13	58.5686	7	0.1373	10021	10021040
2023年上半年度	421040011	國立成功大學醫學院附設醫院	醫學中心	28	53	0.5283	13	58.5686	7	0.1373	10021	10021040
2022年上半年度	433050018	國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院	地區醫院	1	9	0.1111	3	59.2222	0	0	10004	10004010
2022年全年度	433050018	國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院	地區醫院	5	17	0.2941	8	58.8235	0	0	10004	10004010
2022年下半年度	433050018	國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院	地區醫院	4	8	0.5	6	58.375	0	0	10004	10004010
2023年上半年度	433050018	國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院	地區醫院	2	4	0.5	5	65	1	0.25	10004	10004010
2022年上半年度	434010518	國立陽明交通大學附設醫院	區域醫院	1	19	0.0526	4	54.7778	0	0	10002	10002010
2022年全年度	434010518	國立陽明交通大學附設醫院	區域醫院	2	33	0.0606	7	56.9688	1	0.0313	10002	10002010
2022年下半年度	434010518	國立陽明交通大學附設醫院	區域醫院	1	14	0.0714	6	59.7857	1	0.0714	10002	10002010
2023年上半年度	434010518	國立陽明交通大學附設醫院	區域醫院	0	19	0	6	58.8421	3	0.1579	10002	10002010
2022年上半年度	439010518	國立臺灣大學醫學院附設醫院雲林分院	區域醫院	29	42	0.6905	11	62.3846	6	0.1538	10009	10009010
2022年全年度	439010518	國立臺灣大學醫學院附設醫院雲林分院	區域醫院	68	90	0.7556	13	59.0581	10	0.1163	10009	10009010
2022年下半年度	439010518	國立臺灣大學醫學院附設醫院雲林分院	區域醫院	39	48	0.8125	10	56.2979	4	0.0851	10009	10009010
2023年上半年度	439010518	國立臺灣大學醫學院附設醫院雲林分院	區域醫院	36	50	0.72	12	63.6	6	0.12	10009	10009010
2022年上半年度	439010527	國立成功大學醫學院附設醫院斗六分院	地區醫院	0	8	0	4	56	2	0.2857	10009	10009010
2022年全年度	439010527	國立成功大學醫學院附設醫院斗六分院	地區醫院	0	14	0	4	55.7692	2	0.1538	10009	10009010
2022年下半年度	439010527	國立成功大學醫學院附設醫院斗六分院	地區醫院	0	6	0	4	55.5	0	0	10009	10009010
2023年上半年度	439010527	國立成功大學醫學院附設醫院斗六分院	地區醫院	0	5	0	3	61.4	1	0.2	10009	10009010
2022年上半年度	501010019	三軍總醫院松山分院附設民眾診療服務處	區域醫院	0	1	0	1	85	0	0	63000	63000010
2022年全年度	501010019	三軍總醫院松山分院附設民眾診療服務處	區域醫院	0	3	0	2	71.3333	0	0	63000	63000010
2022年下半年度	501010019	三軍總醫院松山分院附設民眾診療服務處	區域醫院	0	2	0	2	64.5	0	0	63000	63000010
2022年上半年度	501110514	三軍總醫院附設民眾診療服務處	醫學中心	2	40	0.05	13	63.925	7	0.175	63000	63000100
2022年全年度	501110514	三軍總醫院附設民眾診療服務處	醫學中心	3	79	0.038	19	62.0385	8	0.1026	63000	63000100
2022年下半年度	501110514	三軍總醫院附設民眾診療服務處	醫學中心	1	39	0.0256	15	60.0526	1	0.0263	63000	63000100
2023年上半年度	501110514	三軍總醫院附設民眾診療服務處	醫學中心	4	35	0.1143	12	60.4571	4	0.1143	63000	63000100
2022年上半年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	14	0	5	56.1429	1	0.0714	64000	64000030
2022年上半年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	14	0	5	56.1429	1	0.0714	64000	64000030
2022年全年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	22	0	5	57.5	1	0.0455	64000	64000030
2022年全年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	22	0	5	57.5	1	0.0455	64000	64000030
2022年下半年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	8	0	3	59.875	0	0	64000	64000030
2022年下半年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	8	0	3	59.875	0	0	64000	64000030
2023年上半年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	10	0	3	60.5	1	0.1	64000	64000030
2023年上半年度	502030015	國軍左營總醫院附設民眾診療服務處	區域醫院	0	10	0	3	60.5	1	0.1	64000	64000030
2022年上半年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	1	18	0.0556	6	62.1111	1	0.0556	64000	64000080
2022年上半年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	1	18	0.0556	6	62.1111	1	0.0556	64000	64000080
2022年全年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	3	39	0.0769	9	59.2973	3	0.0811	64000	64000080
2022年全年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	3	39	0.0769	9	59.2973	3	0.0811	64000	64000080
2022年下半年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	2	21	0.0952	7	56.6316	2	0.1053	64000	64000080
2022年下半年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	2	21	0.0952	7	56.6316	2	0.1053	64000	64000080
2023年上半年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	1	10	0.1	3	57.2	0	0	64000	64000080
2023年上半年度	502080015	國軍高雄總醫院附設民眾診療服務處	區域醫院	1	10	0.1	3	57.2	0	0	64000	64000080
2022年上半年度	532090029	國軍桃園總醫院附設民眾診療服務處	區域醫院	0	18	0	4	60.7647	2	0.1176	68000	68000090
2022年全年度	532090029	國軍桃園總醫院附設民眾診療服務處	區域醫院	1	40	0.025	4	58.8611	5	0.1389	68000	68000090
2022年下半年度	532090029	國軍桃園總醫院附設民眾診療服務處	區域醫院	1	22	0.0455	3	57.5714	3	0.1429	68000	68000090
2023年上半年度	532090029	國軍桃園總醫院附設民眾診療服務處	區域醫院	1	19	0.0526	2	58.0556	1	0.0556	68000	68000090
2022年上半年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	1	11	0.0909	4	63.7273	3	0.2727	66000	66000270
2022年上半年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	1	11	0.0909	4	63.7273	3	0.2727	66000	66000270
2022年全年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	1	20	0.05	4	60.3	3	0.15	66000	66000270
2022年全年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	1	20	0.05	4	60.3	3	0.15	66000	66000270
2022年下半年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	0	9	0	2	56.1111	0	0	66000	66000270
2022年下半年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	0	9	0	2	56.1111	0	0	66000	66000270
2023年上半年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	0	10	0	4	58.4	1	0.1	66000	66000270
2023年上半年度	536190011	國軍臺中總醫院附設民眾診療服務處	區域醫院	0	10	0	4	58.4	1	0.1	66000	66000270
2022年上半年度	544010031	三軍總醫院澎湖分院附設民眾診療服務處	地區醫院	1	6	0.1667	1	62.1667	0	0	10016	10016010
2022年全年度	544010031	三軍總醫院澎湖分院附設民眾診療服務處	地區醫院	1	8	0.125	3	68.75	0	0	10016	10016010
2022年下半年度	544010031	三軍總醫院澎湖分院附設民眾診療服務處	地區醫院	0	2	0	2	88.5	0	0	10016	10016010
2023年上半年度	544010031	三軍總醫院澎湖分院附設民眾診療服務處	地區醫院	0	2	0	1	75	1	0.5	10016	10016010
2022年上半年度	601160016	臺北榮民總醫院	醫學中心	27	37	0.7297	12	66.5714	2	0.0571	63000	63000120
2022年全年度	601160016	臺北榮民總醫院	醫學中心	61	85	0.7176	18	66.061	12	0.1463	63000	63000120
2022年下半年度	601160016	臺北榮民總醫院	醫學中心	34	48	0.7083	15	65.7917	10	0.2083	63000	63000120
2023年上半年度	601160016	臺北榮民總醫院	醫學中心	32	47	0.6809	16	65.0426	4	0.0851	63000	63000120
2022年上半年度	602030026	高雄榮民總醫院	醫學中心	27	62	0.4355	14	58.6129	8	0.129	64000	64000030
2022年上半年度	602030026	高雄榮民總醫院	醫學中心	27	62	0.4355	14	58.6129	8	0.129	64000	64000030
2022年全年度	602030026	高雄榮民總醫院	醫學中心	41	118	0.3475	16	58.7607	11	0.094	64000	64000030
2022年全年度	602030026	高雄榮民總醫院	醫學中心	41	118	0.3475	16	58.7607	11	0.094	64000	64000030
2022年下半年度	602030026	高雄榮民總醫院	醫學中心	14	56	0.25	13	58.9273	3	0.0545	64000	64000030
2022年下半年度	602030026	高雄榮民總醫院	醫學中心	14	56	0.25	13	58.9273	3	0.0545	64000	64000030
2023年上半年度	602030026	高雄榮民總醫院	醫學中心	18	46	0.3913	9	63.413	4	0.087	64000	64000030
2023年上半年度	602030026	高雄榮民總醫院	醫學中心	18	46	0.3913	9	63.413	4	0.087	64000	64000030
2022年上半年度	617060018	臺中榮民總醫院	醫學中心	25	40	0.625	12	65.5	4	0.1111	66000	10019060
2022年上半年度	617060018	臺中榮民總醫院	醫學中心	25	40	0.625	12	65.5	4	0.1111	66000	10019060
2022年全年度	617060018	臺中榮民總醫院	醫學中心	53	81	0.6543	20	63.8816	8	0.1053	66000	10019060
2022年全年度	617060018	臺中榮民總醫院	醫學中心	53	81	0.6543	20	63.8816	8	0.1053	66000	10019060
2022年下半年度	617060018	臺中榮民總醫院	醫學中心	28	41	0.6829	17	62.425	4	0.1	66000	10019060
2022年下半年度	617060018	臺中榮民總醫院	醫學中心	28	41	0.6829	17	62.425	4	0.1	66000	10019060
2023年上半年度	617060018	臺中榮民總醫院	醫學中心	32	50	0.64	16	61.8	10	0.2	66000	10019060
2023年上半年度	617060018	臺中榮民總醫院	醫學中心	32	50	0.64	16	61.8	10	0.2	66000	10019060
2022年上半年度	622020017	臺中榮民總醫院嘉義分院	區域醫院	6	7	0.8571	4	63.2857	0	0	10020	10020020
2022年全年度	622020017	臺中榮民總醫院嘉義分院	區域醫院	14	17	0.8235	4	57.5625	1	0.0625	10020	10020020
2022年下半年度	622020017	臺中榮民總醫院嘉義分院	區域醫院	8	10	0.8	2	53.1111	1	0.1111	10020	10020020
2023年上半年度	622020017	臺中榮民總醫院嘉義分院	區域醫院	18	25	0.72	6	65.6957	4	0.1739	10020	10020020
2022年全年度	632010014	臺北榮民總醫院桃園分院	區域醫院	0	1	0	1	88	0	0	68000	68000010
2022年下半年度	632010014	臺北榮民總醫院桃園分院	區域醫院	0	1	0	1	88	0	0	68000	68000010
2023年上半年度	632010014	臺北榮民總醫院桃園分院	區域醫院	0	1	0	1	77	0	0	68000	68000010
2023年上半年度	634070018	臺北榮民總醫院員山分院	地區醫院	0	1	0	1	93	0	0	10002	10002070
2022年上半年度	638020014	臺中榮民總醫院埔里分院	地區醫院	1	4	0.25	2	59.75	1	0.25	10008	10008020
2022年全年度	638020014	臺中榮民總醫院埔里分院	地區醫院	1	6	0.1667	3	70.1667	1	0.1667	10008	10008020
2022年下半年度	638020014	臺中榮民總醫院埔里分院	地區醫院	0	2	0	2	91	0	0	10008	10008020
2023年上半年度	638020014	臺中榮民總醫院埔里分院	地區醫院	1	3	0.3333	3	77.6667	0	0	10008	10008020
2022年全年度	641310018	高雄榮民總醫院臺南分院	地區醫院	0	1	0	1	92	0	0	10021	67000310
2022年全年度	641310018	高雄榮民總醫院臺南分院	地區醫院	0	1	0	1	92	0	0	10021	67000310
2022年下半年度	641310018	高雄榮民總醫院臺南分院	地區醫院	0	1	0	1	92	0	0	10021	67000310
2022年下半年度	641310018	高雄榮民總醫院臺南分院	地區醫院	0	1	0	1	92	0	0	10021	67000310
2023年上半年度	643010011	屏東榮民總醫院	地區醫院	1	5	0.2	2	62	2	0.4	10013	10013010
2022年全年度	645020015	臺北榮民總醫院鳳林分院	地區醫院	1	1	1	1	78	0	0	10015	10015020
2022年下半年度	645020015	臺北榮民總醫院鳳林分院	地區醫院	1	1	1	1	78	0	0	10015	10015020
2022年全年度	646010013	臺北榮民總醫院臺東分院	地區醫院	0	1	0	1	68	1	1	10014	10014010
2022年下半年度	646010013	臺北榮民總醫院臺東分院	地區醫院	0	1	0	1	68	1	1	10014	10014010
2023年上半年度	646010013	臺北榮民總醫院臺東分院	地區醫院	0	1	0	1	70	1	1	10014	10014010
2022年上半年度	701160518	臺北市立關渡醫院-委託臺北榮民總醫院經營	地區醫院	1	1	1	1	79	0	0	63000	63000120
2022年全年度	701160518	臺北市立關渡醫院-委託臺北榮民總醫院經營	地區醫院	1	1	1	1	79	0	0	63000	63000120
2023年上半年度	717070516	法務部矯正署臺中監獄附設培德醫院	地區醫院	0	1	0	1	75	0	0	66000	10019070
2023年上半年度	717070516	法務部矯正署臺中監獄附設培德醫院	地區醫院	0	1	0	1	75	0	0	66000	10019070
2022年上半年度	901190010	西園醫療社團法人西園醫院	地區醫院	0	3	0	2	56.6667	0	0	63000	63000070
2022年全年度	901190010	西園醫療社團法人西園醫院	地區醫院	0	3	0	2	56.6667	0	0	63000	63000070
2022年上半年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	0	15	0	5	58.8	3	0.2	64000	64000080
2022年上半年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	0	15	0	5	58.8	3	0.2	64000	64000080
2022年全年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	1	39	0.0256	5	58.359	5	0.1282	64000	64000080
2022年全年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	1	39	0.0256	5	58.359	5	0.1282	64000	64000080
2022年下半年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	1	24	0.0417	5	58.0833	2	0.0833	64000	64000080
2022年下半年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	1	24	0.0417	5	58.0833	2	0.0833	64000	64000080
2023年上半年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	1	26	0.0385	6	62.3462	2	0.0769	64000	64000080
2023年上半年度	902080013	阮綜合醫療社團法人阮綜合醫院	區域醫院	1	26	0.0385	6	62.3462	2	0.0769	64000	64000080
2022年全年度	903150014	林新醫療社團法人烏日林新醫院	地區醫院	0	1	0	1	88	0	0	66000	66000230
2022年下半年度	903150014	林新醫療社團法人烏日林新醫院	地區醫院	0	1	0	1	88	0	0	66000	66000230
2023年上半年度	903150014	林新醫療社團法人烏日林新醫院	地區醫院	0	1	0	1	44	1	1	66000	66000230
